,classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,train_time,test_time
0,InceptionTime,MultivariateTSCProblems,JapaneseVowels,0.0,0.9896569380440348,0.9918918918918921,0.9930375180375179,1267.692440032959,9.085655212402344
1,InceptionTime,MultivariateTSCProblems,Handwriting,0.0,0.727759521547114,0.7094117647058824,0.7048503295334793,1292.4155461788175,9.38246250152588
2,InceptionTime,MultivariateTSCProblems,AtrialFibrilation,0.0,0.14074074074074075,0.2,0.20000000000000004,1662.976898431778,8.998275041580198
3,InceptionTime,MultivariateTSCProblems,NATOPS,0.0,0.9750158127767236,0.9722222222222222,0.9722222222222224,835.7050538063049,9.135801076889036
4,InceptionTime,MultivariateTSCProblems,SelfRegulationSCP2,0.0,0.4547511312217194,0.4555555555555556,0.4555555555555556,1577.558884859085,9.258228063583372
5,InceptionTime,MultivariateTSCProblems,Libras,0.0,0.9448140748140748,0.9388888888888888,0.9388888888888888,841.0136160850525,9.105013132095335
6,InceptionTime,MultivariateTSCProblems,ArticularyWordRecognition,0.0,0.9881318681318682,0.9866666666666668,0.9866666666666666,1282.7887465953827,12.100229978561401
7,InceptionTime,MultivariateTSCProblems,EthanolConcentration,0.0,0.21269227837818544,0.22053231939163492,0.2202214452214452,3349.530464887619,9.499669075012207
8,InceptionTime,MultivariateTSCProblems,InsectWingbeat,0.0,0.17333987385609667,0.15565,0.15564999999999998,121166.8707511425,12.310329914093018
9,InceptionTime,MultivariateTSCProblems,Phoneme,0.0,0.3927027880767983,0.39367730390694894,0.3936967273492582,14433.357213973999,10.182234048843382
10,InceptionTime,MultivariateTSCProblems,Epilepsy,0.0,0.9871794871794872,0.9855072463768116,0.9852941176470588,829.5956740379332,9.246543407440186
11,InceptionTime,MultivariateTSCProblems,LSST,0.0,0.6086568094873595,0.3779399837793999,0.3563722374103168,10402.980757951736,9.341749668121338
12,InceptionTime,MultivariateTSCProblems,MotorImagery,0.0,0.5473484848484849,0.52,0.52,4390.740092754364,9.465163946151732
13,InceptionTime,MultivariateTSCProblems,CharacterTrajectories,0.0,0.9969463869463868,0.9972144846796658,0.9968746184371184,6088.312575817108,9.607515573501589
14,InceptionTime,MultivariateTSCProblems,PEMS-SF,0.0,0.8109575638404768,0.7976878612716763,0.8024472789690179,1615.3975141048431,9.407924890518187
15,InceptionTime,MultivariateTSCProblems,BasicMotions,0.0,1.0,1.0,1.0,700.0830678939819,9.028737783432009
16,InceptionTime,MultivariateTSCProblems,PenDigits,0.0,0.986871862600921,0.986277873070326,0.986305081734186,29273.11895990372,9.498826026916504
17,InceptionTime,MultivariateTSCProblems,SpokenArabicDigits,0.0,0.995999841263542,0.9959072305593452,0.9959090909090909,24793.860525369644,9.440613269805908
18,InceptionTime,MultivariateTSCProblems,Cricket,0.0,0.9880952380952379,0.9861111111111112,0.9861111111111112,1044.996684551239,9.126759052276613
19,InceptionTime,MultivariateTSCProblems,EigenWorms,0.0,0.03492063492063492,0.16793893129770993,0.2,11442.500808238985,11.795940160751345
20,InceptionTime,MultivariateTSCProblems,RacketSports,0.0,0.9155523255813952,0.9078947368421052,0.9155523255813952,772.3187439441681,9.056785345077516
21,InceptionTime,MultivariateTSCProblems,HandMovementDirection,0.0,0.3419960474308301,0.33783783783783783,0.3678571428571428,710.7084844112396,9.032772779464723
22,InceptionTime,MultivariateTSCProblems,FingerMovements,0.0,0.5198079231692677,0.52,0.5198079231692677,1248.8845760822294,9.09998059272766
23,InceptionTime,MultivariateTSCProblems,UWaveGestureLibrary,0.0,0.8879658147305507,0.8875,0.8875,996.0225594043733,9.144664525985716
24,InceptionTime,MultivariateTSCProblems,StandWalkJump,0.0,0.09523809523809523,0.13333333333333333,0.13333333333333333,1458.1401851177216,9.015734434127806
25,InceptionTime,MultivariateTSCProblems,Heartbeat,0.0,0.6873428858722976,0.7512195121951221,0.676683262209578,1092.10218501091,9.079290390014648
26,InceptionTime,MultivariateTSCProblems,SelfRegulationSCP1,0.0,0.8093510475217169,0.7815699658703071,0.7820799552697791,2005.4246180057528,9.233659267425537
27,InceptionTime,MultivariateTSCProblems,ERing,0.0,0.13333333333333333,0.13333333333333333,0.1351851851851852,703.0182185173035,9.063741445541384
28,InceptionTime,MultivariateTSCProblems,DuckDuckGeese,0.0,0.6005194805194806,0.6,0.6,970.1489396095276,9.231462001800537
29,InceptionTime,MultivariateTSCProblems,FaceDetection,0.0,0.6779297495943821,0.6779228149829739,0.6779228149829739,25319.353187561035,9.72342586517334
